,CID,Description
143,3117,"Disulfiram is an organic disulfide that results from the formal oxidative dimerisation of N,N-diethyldithiocarbamic acid. A multi-enzyme inhibitor that is used in alcohol aversion therapy and also exhibits anticancer properties. It has a role as an EC 1.2.1.3 [aldehyde dehydrogenase (NAD(+))] inhibitor, an angiogenesis inhibitor, an EC 3.1.1.8 (cholinesterase) inhibitor, an EC 3.1.1.1 (carboxylesterase) inhibitor, an EC 5.99.1.2 (DNA topoisomerase) inhibitor, a fungicide, an apoptosis inducer, a NF-kappaB inhibitor, an antineoplastic agent and a ferroptosis inducer. It is an organic disulfide and an organosulfur acaricide."
144,2174,"6-[(2-amino-1-oxo-2-phenylethyl)amino]-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid is a penicillin."
145,3278,"Etacrynic acid is an aromatic ether that is phenoxyacetic acid in which the phenyl ring is substituted by chlorines at positions 2 and 3, and by a 2-methylidenebutanoyl group at position 4. It is a loop diuretic used to treat high blood pressure resulting from diseases such as congestive heart failure, liver failure, and kidney failure. It is also a glutathione S-transferase (EC 2.5.1.18) inhibitor. It has a role as an ion transport inhibitor, an EC 2.5.1.18 (glutathione transferase) inhibitor and a loop diuretic. It is an aromatic ether, a monocarboxylic acid, an aromatic ketone and a dichlorobenzene. It is functionally related to an acetic acid."
146,19667,Bephenium is an aromatic amine.
147,4259181,"N3-cyclopropyl-7-[(4-propan-2-ylphenyl)methyl]pyrrolo[3,2-f]quinazoline-1,3-diamine is a member of quinazolines."
148,56963315,"3-[[2-(2-pyridinyl)-6-(1,2,4,5-tetrahydro-3-benzazepin-3-yl)-4-pyrimidinyl]amino]propanoic acid is an organonitrogen heterocyclic compound."
149,645695,3-amino-5-methoxy-2-benzofurancarboxylic acid methyl ester is a member of benzofurans.
150,5320622,(+)-Fargesin is a lignan.
151,71699712,"Atglistatin is a biphenyl that is 1,1'-biphenyl substituted by (dimethylcarbamoyl)amino and dimethylamino groups at positions 3 and 4', respectively. It is a potent inhibitor of adipose triglyceride lipase activity (IC50 = 700nM). It has a role as an EC 3.1.1.3 (triacylglycerol lipase) inhibitor and a cardioprotective agent. It is a member of biphenyls, a member of ureas, a tertiary amino compound and an aromatic amine."
152,2218611,"N-[5-(2-methoxyethylthio)-1,3,4-thiadiazol-2-yl]-1,3-benzodioxole-5-carboxamide is a member of benzodioxoles."
153,519723,N-Methyltyrosine is a tyrosine derivative.
154,60806,Versetamide is an amino acid amide.
155,69362,3-hydroxyisovaleric acid is a 3-hydroxy monocarboxylic acid that is isovaleric acid substituted at position 3 by a hydroxy group. Used as indicator of biotin deficiency. It has a role as a human metabolite. It is functionally related to a butyric acid and an isovaleric acid. It is a conjugate acid of a 3-hydroxyisovalerate.
156,8042,Isopropyl tetradecanoate is a fatty acid ester.
157,2883391,"N-(5-bromo-2-pyridinyl)-2,2-dimethyl-3-(2-methylprop-1-enyl)-1-cyclopropanecarboxamide is a monoterpenoid."
158,886522,"8-chloro-7-propan-2-yloxy-2,3-dihydro-1H-cyclopenta[c][1]benzopyran-4-one is a member of coumarins."
159,3463933,"2,5-dichloro-N-(2-methyl-4-nitrophenyl)benzenesulfonamide is a sulfonamide."
160,5314,"Succinylcholine is a quaternary ammonium ion that is the bis-choline ester of succinic acid. It has a role as a neuromuscular agent, a muscle relaxant and a drug allergen. It is a quaternary ammonium ion and a succinate ester."
161,176167,"3-(1-methyl-3-indolyl)-4-[1-[1-(2-pyridinylmethyl)-4-piperidinyl]-3-indolyl]pyrrole-2,5-dione is a member of indoles and a member of maleimides."
162,2879966,"4-(1,4-dioxaspiro[4.11]hexadecan-3-ylmethyl)morpholine is a ketal."
163,666065,"6-(3,4,5-triethoxyphenyl)-[1,2,4]triazolo[3,4-b][1,3,4]thiadiazole is an aromatic ether and a triazolothiadiazole."
164,107641,Indobufen is a member of isoindoles.
165,16682,"Asparagusic acid is a sulfur-containing carboxylic acid, a dithiolanecarboxylic acid and a member of dithiolanes. It is a conjugate acid of an asparagusate. It derives from a hydride of a 1,2-dithiolane."
166,62374,"2,6,6-Trimethyl-2-cyclohexene-1,4-dione is a member of cyclohexenones."
167,1167733,"2-[(5-phenyl-1,3,4-oxadiazol-2-yl)thio]-1-(2,2,4,6-tetramethyl-1-quinolinyl)ethanone is a member of quinolines."
168,787583,"2-(1,4,5,7-tetramethyl-6-pyrrolo[3,4-d]pyridazinyl)aniline is a member of pyrroles."
169,2419,"8-[2-[4-(2-methoxyphenyl)-1-piperazinyl]ethyl]-8-azaspiro[4.5]decane-7,9-dione is a member of piperazines."
170,23340,"1-hydroxy-7-(hydroxymethyl)-1,4a,5,7a-tetrahydrocyclopenta[c]pyran-4-carboxylic acid methyl ester is an iridoid monoterpenoid."
171,4650,"1,4-benzoquinone is the simplest member of the class of 1,4-benzoquinones, obtained by the formal oxidation of hydroquinone to the corresponding diketone. It is a metabolite of benzene. It has a role as a cofactor, a human xenobiotic metabolite and a mouse metabolite."
172,4330618,Epi-Ivermectin B1a is a milbemycin.
173,4307629,2-(4-chlorophenyl)-3-methyl-N-(2-thiazolyl)butanamide is a member of acetamides.
174,44480399,"Fruquintinib is a member of the class of quinazolines that is quinazoline substituted by [2-methyl-3-(methylcarbamoyl)-1-benzofuran-6-yl]oxy, methoxy, and methoxy groups at positions 4, 6, and 7, respectively. It is a highly potent and selective inhibitor of VEGFR 1, 2 and 3 (IC50 = 33, 0.35, and 35 nM) used for the treatment of metastatic colorectal cancer. It has a role as an EC 2.7.10.1 (receptor protein-tyrosine kinase) inhibitor, an antineoplastic agent and a vascular endothelial growth factor receptor antagonist. It is a member of quinazolines, an aromatic ether, a member of 1-benzofurans and a secondary carboxamide."
175,6329,"Methylamine is the simplest of the methylamines, consisting of ammonia bearing a single methyl substituent. It has a role as a mouse metabolite. It is a primary aliphatic amine, a one-carbon compound and a member of methylamines. It is a conjugate base of a methylammonium."
176,5380976,7-Hydroxy-2-methylisoflavone is a member of isoflavones.
177,2236,"Aristolochic acid A is an aristolochic acid that is phenanthrene-1-carboxylic acid that is substituted by a methylenedioxy group at the 3,4 positions, by a methoxy group at position 8, and by a nitro group at position 10. It is the most abundant of the aristolochic acids and is found in almost all Aristolochia (birthworts or pipevines) species. It has been tried in a number of treatments for inflammatory disorders, mainly in Chinese and folk medicine. However, there is concern over their use as aristolochic acid is both carcinogenic and nephrotoxic. It has a role as a nephrotoxin, a carcinogenic agent, a mutagen, a toxin and a metabolite. It is a monocarboxylic acid, a C-nitro compound, a cyclic acetal, an organic heterotetracyclic compound, an aromatic ether and a member of aristolochic acids."
178,713757,"6-[5-[4-(trifluoromethyl)phenyl]-3H-1,3,4-oxadiazol-2-ylidene]-1-cyclohexa-2,4-dienone is a member of (trifluoromethyl)benzenes."
179,208908,"Lapatinib is an organofluorine compound, an organochlorine compound, a member of quinazolines and a member of furans. It has a role as an antineoplastic agent and a tyrosine kinase inhibitor. It is functionally related to a monofluorobenzene."
180,3696,"Imipramine is a dibenzoazepine that is 5H-dibenzo[b,f]azepine substituted by a 3-(dimethylamino)propyl group at the nitrogen atom. It has a role as an adrenergic uptake inhibitor, an EC 3.4.21.26 (prolyl oligopeptidase) inhibitor and an antidepressant. It derives from a hydride of a 5H-dibenzo[b,f]azepine."
181,5275725,"(S)-[8]-Gingerol is a member of phenols, a monomethoxybenzene and a beta-hydroxy ketone."
182,1560402,"SMER 28 is a member of the class of quinazolines that is quinazoline which is substituted by a prop-2-en-1-ylnitrilo group and a bromo group at positions 4 and 6, respectively. It is a modulator of mammalian autophagy. It has a role as an autophagy inducer. It is a member of quinazolines, a secondary amino compound and an organobromine compound."
183,3562,"Halothane is a haloalkane comprising ethane having three flouro substituents at the 1-position as well as bromo- and chloro substituents at the 2-position. It has a role as an inhalation anaesthetic. It is a haloalkane, an organofluorine compound, an organochlorine compound and an organobromine compound."
184,85502933,"5-Methoxy-2-methyl-2,3,8,9-tetrahydrofuro[2,3-h]chromen-4-one is a member of chromones."
185,5706753,LDS 751(1+) is a cationic C3 cyanine-type compound with 4-(dimethylamino)phenyl and 6-(dimethylamino)-1-ethylquinolinium-2-yl groups at either end. It has a role as a fluorochrome. It is a tertiary amine and a quinolinium ion.
186,24779724,"SGX-523 is a member of the class of triazolopyridazines that is 6-(1-methylpyrazol-4-yl)[1,2,4]triazolo[4,3-b]pyridazine-3-thiol in which the thiol hydrogen is replaced by a quinolin-6-yl group. It has a role as a c-Met tyrosine kinase inhibitor and a nephrotoxic agent. It is a member of quinolines, a triazolopyridazine, a member of pyrazoles, a biaryl and an aryl sulfide."
187,284,"Formic acid is the simplest carboxylic acid, containing a single carbon. Occurs naturally in various sources including the venom of bee and ant stings, and is a useful organic synthetic reagent. Principally used as a preservative and antibacterial agent in livestock feed. Induces severe metabolic acidosis and ocular injury in human subjects. It has a role as an antibacterial agent, a protic solvent, a metabolite, a solvent and an astringent. It is a conjugate acid of a formate."
188,2266,"Nonanedioic acid is an alpha,omega-dicarboxylic acid that is heptane substituted at positions 1 and 7 by carboxy groups. It has a role as an antibacterial agent, an antineoplastic agent, a dermatologic drug and a plant metabolite. It is a dicarboxylic fatty acid and an alpha,omega-dicarboxylic acid. It is a conjugate acid of an azelaate(2-) and an azelaate."
189,3505573,1-[(4-chlorophenyl)-oxomethyl]-N-[4-(1-piperidinylsulfonyl)phenyl]-3-piperidinecarboxamide is a N-acylpiperidine and a member of benzamides.
190,216345,"4-[[4,5-bis(4-chlorophenyl)-2-(4-methoxy-2-propan-2-yloxyphenyl)-4,5-dihydroimidazol-1-yl]-oxomethyl]-2-piperazinone is a stilbenoid."
191,15610,Methyl nonadecanoate is a fatty acid methyl ester resulting from the formal condensation of the carboxy group of nonadecanoic acid with methanol. It is functionally related to a nonadecanoic acid.
192,19529,"Diloxanide furoate is a carboxylic ester resulting from the formal condensation of the carboxy group of furan-2-carboxylic acid with the hydroxy group of 2,2-dichloro-N-(4-hydroxyphenyl)-N-methylacetamide. It is a drug used for the treatment of asymptomatic amebiasis. It has a role as an antiamoebic agent and a prodrug. It is a member of furans, a carboxylic ester, a tertiary carboxamide and an organochlorine compound."
193,3840,"Kojic acid is a pyranone that is 4H-pyran substituted by a hydroxy group at position 5, a hydroxymethyl group at position 2 and an oxo group at position 4. It has been isolated from the fungus Aspergillus oryzae. It has a role as a NF-kappaB inhibitor, an Aspergillus metabolite, a skin lightening agent, an EC 1.10.3.1 (catechol oxidase) inhibitor, an EC 1.10.3.2 (laccase) inhibitor, an EC 1.13.11.24 (quercetin 2,3-dioxygenase) inhibitor, an EC 1.14.18.1 (tyrosinase) inhibitor and an EC 1.4.3.3 (D-amino-acid oxidase) inhibitor. It is an enol, a primary alcohol and a member of 4-pyranones. It derives from a hydride of a 4H-pyran."
194,3236392,"1-(4-amino-1,2,5-oxadiazol-3-yl)-5-[(2-pyridinylthio)methyl]-4-triazolecarboxylic acid propan-2-yl ester is an aryl sulfide, an isopropyl ester, an oxadiazole, an azole and a member of pyridines."
195,40854,"Oxfendazole is a member of the class of benzimidazoles that is fenbendazole in which the sulfur has been oxidised to the corresponding sulfoxide. It has a role as an antinematodal drug. It is a sulfoxide, a member of benzimidazoles and a carbamate ester. It is functionally related to a fenbendazole."
196,5354,2-(octylamino)-1-[4-(propan-2-ylthio)phenyl]-1-propanol is an alkylbenzene.
197,15981397,Vonoprazan is a member of pyrroles.
198,4176332,2-(5-bromo-2-thiophenyl)-N-(4-methyl-1-piperazinyl)-4-quinolinecarboxamide is a member of quinolines.
199,11289,"Chlorotrianisene is a chloroalkene. It has a role as an estrogen receptor modulator, an antineoplastic agent and a xenoestrogen. It derives from a hydride of a stilbene."
200,3285,"17-ethynyl-13-methyl-7,8,9,11,12,14,15,16-octahydro-6H-cyclopenta[a]phenanthrene-3,17-diol is a steroid. It has a role as an estrogen."
201,4898145,LSM-4833 is a member of quinolines.
202,44462760,"Dabrafenib is an organofluorine compound and antineoplastic agent, used as its mesylate salt in treatment of metastatic melanoma. It has a role as an antineoplastic agent, a B-Raf inhibitor and an anticoronaviral agent. It is a sulfonamide, an organofluorine compound, a member of 1,3-thiazoles and an aminopyrimidine."
203,50897809,"N-[4-[[5-[3-(2-furanylmethyl)-4-oxo-1,2-dihydroquinazolin-2-yl]-2-methoxyphenyl]methoxy]-3,5-dimethylphenyl]acetamide is a member of quinazolines."
204,3351,"1-[4-(1,3-benzodioxol-5-ylmethyl)-1-piperazinyl]-2-(4-chlorophenoxy)ethanone is a member of benzodioxoles."
205,1045434,5-bromo-3-pyridinecarboxylic acid [3-(2-naphthalenyloxy)-4-oxo-1-benzopyran-7-yl] ester is a member of chromones.
206,5593,Tropicamide is a member of acetamides.
207,2355,"5-methoxypsoralen is a 5-methoxyfurocoumarin that is psoralen substituted by a methoxy group at position 5. It has a role as a hepatoprotective agent and a plant metabolite. It is a member of psoralens, a 5-methoxyfurocoumarin and an organic heterotricyclic compound. It is functionally related to a psoralen."
208,4712,4-[4-(4-fluorophenyl)-2-(4-nitrophenyl)-1H-imidazol-5-yl]pyridine is a member of imidazoles.
209,16043,2-tert-butylhydroquinone is a member of the class of hydroquinones in which one of the ring hydrogens of hydroquinone is replaced by a tert-butyl group. It has a role as a food antioxidant.
210,663199,"6,8-dibromo-7-hydroxy-10a-(4-morpholinyl)-3,4,5,5a-tetrahydro-2H-benzofuro[2,3-c]azepin-1-one is an organonitrogen compound and an organooxygen compound. It is functionally related to an alpha-amino acid."
211,5355,"Sulpiride is a member of the class of benzamides obtained from formal condensation between the carboxy group of 2-methoxy-5-sulfamoylbenzoic acid and the primary amino group of (1-ethylpyrrolidin-2-yl)methylamine. It has a role as an antidepressant, an antiemetic, an antipsychotic agent and a dopaminergic antagonist. It is a N-alkylpyrrolidine, a sulfonamide and a member of benzamides."
212,600671,Aegelinol is a member of coumarins.
213,2809273,JNJ-1661010 is a N-arylpiperazine.
214,629761,Ethyl 6-chloro-2-methyl-4-phenylquinoline-3-carboxylate is a member of quinolines.
215,1001,"2-phenylethylamine is a phenylethylamine having the phenyl substituent at the 2-position. It has a role as a human metabolite, an Escherichia coli metabolite and a mouse metabolite. It is a phenylethylamine, an aralkylamine and an alkaloid. It is a conjugate base of a 2-phenylethanaminium."
216,2239,Arotinolol is a member of thiophenes and an aromatic amide.
217,155815,"Varespladib is a member of the class of indoles that is 1H-indole substituted by benzyl, ethyl, oxamoyl, and carboxymethoxy groups at positions 1, 2, 3, and 4, respectively. It is an oral secretory phospholipase A2 inhibitor and exhibits anti-inflammatory effects. It has a role as an EC 3.1.1.4 (phospholipase A2) inhibitor, an anti-inflammatory drug and an antidote. It is a member of indoles, a member of benzenes, an aromatic ether, a dicarboxylic acid monoamide, a monocarboxylic acid and a primary carboxamide. It is a conjugate acid of a varespladib(1-)."
